species,longitude,latitude
Cynomys mexicanus,-100.988775,24.825826
Cynomys mexicanus,-100.503948,24.982287
Cynomys mexicanus,-100.794394,24.514823
Cynomys mexicanus,-100.697483,24.994769
Cynomys mexicanus,-100.84711,24.904628
Cynomys mexicanus,-100.685384,24.802903
Cynomys mexicanus,-100.409385,24.875492
Cynomys mexicanus,-100.7078,25.063773
Cynomys mexicanus,-101.214414,25.017046
Cynomys mexicanus,-100.734168,25.032211
Cynomys mexicanus,-100.810859,25.066108
Cynomys mexicanus,-100.911555,24.951095
Cynomys mexicanus,-100.731514,24.878749
Cynomys mexicanus,-100.95359,25.045674
Cynomys mexicanus,-100.698215,24.975277
Cynomys mexicanus,-100.759562,24.418524
Cynomys mexicanus,-100.774869,25.060638
Cynomys mexicanus,-100.377423,24.442379
Cynomys mexicanus,-100.423081,24.879534
Cynomys mexicanus,-100.662701,24.82423
Cynomys mexicanus,-100.901699,25.005
Cynomys mexicanus,-101.119012,24.973103
Cynomys mexicanus,-100.765106,24.31431
Cynomys mexicanus,-100.809731,25.093883
Cynomys mexicanus,-101.050254,24.942145
Cynomys mexicanus,-101.191129,25.015658
Cynomys mexicanus,-100.452814,24.929324
Cynomys mexicanus,-100.66173,24.834497
Cynomys mexicanus,-100.804127,25.074117
Cynomys mexicanus,-100.838238,24.902453
Cynomys mexicanus,-101.015669,25.05927
Cynomys mexicanus,-100.959717,25.06698
Cynomys mexicanus,-100.697056,24.993997
Cynomys mexicanus,-100.575482,25.050754
Cynomys mexicanus,-100.692759,24.978291
Cynomys mexicanus,-100.86368,24.941464
Cynomys mexicanus,-100.661579,24.810536
Cynomys mexicanus,-100.722014,24.967239
Cynomys mexicanus,-101.084837,25.115583
Cynomys mexicanus,-101.026481,24.801379
Cynomys mexicanus,-100.87162,24.94986
Cynomys mexicanus,-100.644112,24.746227
Cynomys mexicanus,-100.281284,24.456598
Cynomys mexicanus,-100.664811,24.759948
Cynomys mexicanus,-100.608504,25.078632
Cynomys mexicanus,-100.339708,24.487633
Cynomys mexicanus,-101.041711,24.828516
Cynomys mexicanus,-100.680033,24.775705
Cynomys mexicanus,-100.91293,24.748354
Cynomys mexicanus,-101.021231,24.808193
Cynomys mexicanus,-101.048703,24.816964
Cynomys mexicanus,-100.578461,25.026434
Cynomys mexicanus,-100.714072,24.809556
Cynomys mexicanus,-101.008062,25.056467
Cynomys mexicanus,-100.338977,25.076442
Cynomys mexicanus,-100.483071,24.924882
Cynomys mexicanus,-101.035482,24.820801
Cynomys mexicanus,-101.245187,25.047212
Cynomys mexicanus,-100.863428,24.940465
Cynomys mexicanus,-100.806816,25.072287
Cynomys mexicanus,-101.004471,25.061183
Cynomys mexicanus,-100.908997,24.736207
Cynomys mexicanus,-101.104126,24.96667
Cynomys mexicanus,-100.386109,24.451004
Cynomys mexicanus,-100.611224,24.765039
Cynomys mexicanus,-100.381732,24.445915
Cynomys mexicanus,-100.658226,25.175268
Cynomys mexicanus,-100.723765,24.837415
Cynomys mexicanus,-100.613565,25.076022
Cynomys mexicanus,-101.050588,24.963499
Cynomys mexicanus,-100.410205,24.896297
Cynomys mexicanus,-100.299296,24.717666
Cynomys mexicanus,-101.122364,24.980864
Cynomys mexicanus,-100.724143,24.977822
Cynomys mexicanus,-101.07082,25.111013
Cynomys mexicanus,-100.665272,24.764168
Cynomys mexicanus,-100.663599,25.173474
Cynomys mexicanus,-100.904855,24.705049
Cynomys mexicanus,-100.623469,25.006168
Cynomys mexicanus,-100.891478,24.935227
Cynomys mexicanus,-100.67602,24.865604
Cynomys mexicanus,-100.382915,24.457607
Cynomys mexicanus,-100.70628,24.973252
Cynomys mexicanus,-101.117143,24.987158
Cynomys mexicanus,-101.035129,24.817412
Cynomys mexicanus,-100.864656,24.962848
Cynomys mexicanus,-100.847617,24.987066
Cynomys mexicanus,-100.855456,24.982698
Cynomys mexicanus,-100.681396,24.872306
Cynomys mexicanus,-100.673848,24.796766
Cynomys mexicanus,-101.127604,24.977503
Cynomys mexicanus,-100.808921,25.081281
Cynomys mexicanus,-101.014932,25.058423
Cynomys mexicanus,-100.676408,25.001824
Cynomys mexicanus,-100.697656,24.886767
Cynomys mexicanus,-100.481684,24.914079
Cynomys mexicanus,-100.72123,25.219283
Cynomys mexicanus,-100.707725,25.026955
Cynomys mexicanus,-100.385679,24.450521
Cynomys mexicanus,-100.715571,25.042421
Cynomys mexicanus,-100.614809,25.076316
Cynomys mexicanus,-100.731685,24.327363
Cynomys mexicanus,-100.703758,24.805484
Cynomys mexicanus,-100.840495,24.979065
Cynomys mexicanus,-100.752481,24.895224
Cynomys mexicanus,-100.821481,25.086652
Cynomys mexicanus,-100.732062,24.882579
Cynomys mexicanus,-100.806483,25.083342
Cynomys mexicanus,-101.049081,24.952019
Cynomys mexicanus,-100.845219,24.975061
Cynomys mexicanus,-101.025257,24.817979
Cynomys mexicanus,-100.72619,25.225491
Cynomys mexicanus,-101.021386,24.806765
Cynomys mexicanus,-100.271836,24.703327
Cynomys mexicanus,-100.79693,25.070024
Cynomys mexicanus,-100.386602,24.451903
Cynomys mexicanus,-100.808249,25.072631
Cynomys mexicanus,-100.773046,25.07311
Cynomys mexicanus,-100.914983,25.013208
Cynomys mexicanus,-100.821118,25.079543
Cynomys mexicanus,-100.915078,24.705316
Cynomys mexicanus,-100.79265,25.066772
