species,longitude,latitude,thin_factor
Cynomys mexicanus,-100.78976,24.271667,1
Cynomys mexicanus,-100.789043,24.935993,1
Cynomys mexicanus,-100.784507,25.061624,1
Cynomys mexicanus,-100.778299,25.056544,1
Cynomys mexicanus,-100.774869,25.060638,1
Cynomys mexicanus,-100.773046,25.07311,1
Cynomys mexicanus,-100.771259,25.073574,1
Cynomys mexicanus,-100.765106,24.31431,1
Cynomys mexicanus,-100.76499,25.078858,1
Cynomys mexicanus,-100.764024,24.898309,1
Cynomys mexicanus,-100.762361,24.416289,1
Cynomys mexicanus,-100.762048,24.422134,1
Cynomys mexicanus,-100.759562,24.418524,1
Cynomys mexicanus,-100.758616,24.407222,1
Cynomys mexicanus,-100.753781,24.817961,1
Cynomys mexicanus,-100.752481,24.895224,1
Cynomys mexicanus,-100.752411,25.056608,1
Cynomys mexicanus,-100.752027,24.895988,1
Cynomys mexicanus,-100.747639,24.868944,1
Cynomys mexicanus,-100.745478,24.887831,1
Cynomys mexicanus,-100.743479,25.042484,1
Cynomys mexicanus,-100.743174,25.036331,1
Cynomys mexicanus,-100.739615,25.059386,1
Cynomys mexicanus,-100.739487,25.059423,1
Cynomys mexicanus,-100.736853,25.069439,1
Cynomys mexicanus,-100.734385,24.886633,1
Cynomys mexicanus,-100.734168,25.032211,1
Cynomys mexicanus,-100.732062,24.882579,1
Cynomys mexicanus,-100.731685,24.327363,1
Cynomys mexicanus,-100.731514,24.878749,1
Cynomys mexicanus,-100.727084,25.23115,1
Cynomys mexicanus,-100.726702,25.214606,1
Cynomys mexicanus,-100.72619,25.225491,1
Cynomys mexicanus,-100.724143,24.977822,1
Cynomys mexicanus,-100.723765,24.837415,1
Cynomys mexicanus,-100.723665,24.848043,1
Cynomys mexicanus,-100.722014,24.967239,1
Cynomys mexicanus,-100.721695,25.03315,1
Cynomys mexicanus,-100.72123,25.219283,1
Cynomys mexicanus,-100.720321,24.91882,1
Cynomys mexicanus,-100.720055,25.071151,1
Cynomys mexicanus,-100.719998,25.236821,1
Cynomys mexicanus,-100.717509,24.966596,1
Cynomys mexicanus,-100.715962,24.813272,1
Cynomys mexicanus,-100.715571,25.042421,1
Cynomys mexicanus,-100.715197,25.040475,1
Cynomys mexicanus,-100.714072,24.809556,1
Cynomys mexicanus,-100.712902,24.810093,1
Cynomys mexicanus,-100.712695,25.196527,1
Cynomys mexicanus,-100.712532,24.997729,1
Cynomys mexicanus,-100.7078,25.063773,1
Cynomys mexicanus,-100.707725,25.026955,1
Cynomys mexicanus,-100.706581,24.741383,1
Cynomys mexicanus,-100.70628,24.973252,1
Cynomys mexicanus,-100.705223,25.035981,1
Cynomys mexicanus,-100.703758,24.805484,1
Cynomys mexicanus,-100.698215,24.975277,1
Cynomys mexicanus,-100.697656,24.886767,1
Cynomys mexicanus,-100.697518,24.820071,1
Cynomys mexicanus,-100.697483,24.994769,1
Cynomys mexicanus,-100.697056,24.993997,1
Cynomys mexicanus,-100.696457,24.800294,1
Cynomys mexicanus,-100.695692,24.992794,1
Cynomys mexicanus,-100.692759,24.978291,1
Cynomys mexicanus,-100.690149,25.062548,1
Cynomys mexicanus,-100.685384,24.802903,1
Cynomys mexicanus,-100.684862,25.110536,1
Cynomys mexicanus,-100.683131,25.150387,1
Cynomys mexicanus,-100.681396,24.872306,1
Cynomys mexicanus,-100.68008,25.101209,1
Cynomys mexicanus,-100.680033,24.775705,1
Cynomys mexicanus,-100.678048,25.180958,1
Cynomys mexicanus,-100.676408,25.001824,1
Cynomys mexicanus,-100.67602,24.865604,1
Cynomys mexicanus,-100.673848,24.796766,1
Cynomys mexicanus,-100.671717,25.185968,1
Cynomys mexicanus,-100.667322,25.03624,1
Cynomys mexicanus,-100.665272,24.764168,1
Cynomys mexicanus,-100.664811,24.759948,1
Cynomys mexicanus,-100.663599,25.173474,1
Cynomys mexicanus,-100.662701,24.82423,1
Cynomys mexicanus,-100.66173,24.834497,1
Cynomys mexicanus,-100.661579,24.810536,1
Cynomys mexicanus,-100.658226,25.175268,1
Cynomys mexicanus,-100.65633,24.752701,1
Cynomys mexicanus,-100.654621,24.915495,1
Cynomys mexicanus,-100.653266,25.133723,1
